OBJECTID,DOWLKNUM,LK_PCTLTRL,LK_LZACRES,LK_LZDEPTH,AREA,ACRES,PERFEET,PERIMETER,LAKE_NAME,Shape_Length,Shape_Area
102195,07004400,71.15000153,1026.22,15,4153062.664,1026.222,92028.057,28050.208,Madison,28050.20756,4153062.648
102196,07004700,76.19000244,67.23,15,272081.189,67.231,12583.01,3835.309,George,3835.309299,272081.2082
102197,07005300,85.09999847,247.13,15,1000116.666,247.129,18948.136,5775.403,Duck,5775.403413,1000116.668
102198,07005400,88.05999756,328.59,15,1329772.893,328.587,25395.919,7740.692,Ballantyne,7740.691397,1329772.893
102199,07006001,95.15000153,479.51,15,1940532.187,479.506,32261.836,9833.427,Eagle (North),9833.427337,1940532.198
102200,07007900,100,1361.06,15,5508140.32,1361.061,71144.23,21684.805,Lura,21684.8048,5508140.356
102201,07009000,99.75,129.45,15,523881.306,129.451,11684.092,3561.318,Ida,3561.318267,523881.2786
102202,07009600,100,809.63,15,3276516.546,809.627,27353.711,8337.428,Loon,8337.427685,3276516.543
102203,07009700,100,237.08,15,959439.299,237.077,13621.34,4151.793,Mills,4151.792939,959439.3052
102204,07009800,100,383.25,15,1550984.064,383.248,30647.295,9341.314,Crystal,9341.314156,1550984.052
102205,08001100,100,276.39,15,1118533.943,276.39,14805.493,4512.723,Clear,4512.723244,1118533.927
102206,08004500,89.5,189.3,15,766073.47,189.297,21721.087,6620.6,Sleepy Eye,6620.600719,766073.4703
102207,08012900,66.76999664,50.02,15,202428.371,50.02,24559.35,7485.705,Wellner-Hageman Reservoir,7485.70502,202428.3796
102208,09000100,84.06999969,348.49,15,1410316.351,348.489,82839.338,25249.481,Thomson Reservoir,25249.48201,1410316.373
102209,09000300,90.90000153,31.06,15,125693.731,31.059,7104.119,2165.34,Graham,2165.339849,125693.7268
102210,09000400,100,32.35,15,130916.921,32.35,5691.564,1734.792,Soper,1734.792101,130916.9213
102211,09000600,100,40.89,15,165471.573,40.888,5098.894,1554.146,Blackhoof,1554.146081,165471.5667
102212,09000700,84.51000214,30.77,15,124527.486,30.771,8043.905,2451.787,Spring,2451.787107,124527.4911
102213,09000800,55.16999817,172.92,15,699809.331,172.923,37018.128,11283.148,Chub,11283.1477,699809.3306
102214,09000900,97.52999878,108.44,15,438850.32,108.44,14859.826,4529.284,Venoah,4529.284255,438850.3146
102215,09001000,100,140.05,15,566775.459,140.05,23485.251,7158.319,Hay,7158.318925,566775.4589
102216,09001500,100,32.18,15,130243.923,32.183,5191.446,1582.356,Ellstrom,1582.355741,130243.9191
102217,09001600,99.43000031,126.87,15,513447.613,126.873,11440.072,3486.941,Sand,3486.940898,513447.6071
102218,09001800,100,34.13,15,138105.156,34.126,6054.766,1845.496,Hizer,1845.496606,138105.1567
102219,09001900,91.15000153,31.97,15,129385.594,31.971,6529.939,1990.329,Munson,1990.329493,129385.5945
102220,09002000,58.45999908,27.05,15,109449.649,27.045,11956.651,3644.395,Crystal,3644.394378,109449.6499
102221,09002100,53.27000046,13.8,15,55846.973,13.8,9938.051,3029.124,Benfield,3029.123924,55846.97347
102222,09002200,65.73000336,34.08,15,137927.652,34.082,11173.017,3405.543,Twentynine,3405.542799,137927.6502
102223,09002500,100,126.03,15,510044.349,126.032,10242.352,3121.875,Torch Light,3121.874855,510044.3532
102224,09002600,58.36000061,43.86,15,177517.438,43.865,13388.31,4080.765,Bob,4080.765042,177517.4468
102225,09002900,100,381.27,15,1542967.317,381.267,17699.148,5394.711,Park,5394.710824,1542967.305
102226,09003200,99.76000214,512.3,15,2073236.287,512.297,49136.385,14976.8,Big,14976.80037,2073236.289
102227,09003400,76.65000153,70.07,15,283588.995,70.075,17003.133,5182.565,Bear,5182.565279,283588.9983
102228,09003500,45.24000168,51.73,15,209366.521,51.734,31423.595,9577.931,Little Hanging Horn,9577.930722,209366.5169
102229,09003800,22.71999931,92.85,15,375746.13,92.847,48368.523,14742.755,Hanging Horn,14742.75513,375746.125
102230,09003900,84.16999817,19.81,15,80186.569,19.814,6375.896,1943.377,Eddy,1943.377073,80186.56543
102231,09004100,89.12000275,244.93,15,991225.147,244.932,20799.79,6339.789,Moosehead,6339.788972,991225.1571
102232,09004300,36.29000092,48.2,15,195043.58,48.195,21422.175,6529.492,Moose,6529.492052,195043.5816
