DOW,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone
11008700,Knight,131.287,99.53,131.29,131.29,99.53,15
11009200,Little Sand,407.302,100.00,407.30,407.30,100.00,15
11010100,George,612.269,99.25,612.27,612.27,99.25,15
11010200,Island,146.128,40.64,146.13,146.13,40.64,15
11010400,Laura,1255.446,100.00,1255.45,1255.45,100.00,15
11010500,Upper Trelipe,143.677,34.09,143.68,143.68,34.09,15
11011400,Mitten,101.887,90.32,101.89,101.89,90.32,15
11011600,Stevens,58.517,58.46,58.52,67.31,67.25,18
11011700,Twenty-Six,108.679,100.00,108.68,108.68,100.00,15
11012001,Inguadona (N. Bay),185.135,51.52,185.14,185.14,51.52,15
11012002,Inguadona (S. Bay),391.215,50.57,391.22,391.22,50.57,15
11012100,Mabel,183.982,100.00,183.98,183.98,100.00,15
11012900,Lower Trelipe,371.62,59.44,371.62,371.62,59.44,15
11013300,Swift,186.763,52.38,186.76,186.76,52.38,15
11014200,Long,406.831,41.28,406.83,620.82,62.99,25
11014300,Boy,2237.001,64.38,2237.00,2154.23,62.00,14
11014600,Six Mile,624.963,47.35,624.96,624.96,47.35,15
11014700,Winnibigoshish,20917.666,36.77,20917.67,20917.67,36.77,15
11016200,Rice,213.516,79.03,213.52,213.52,79.03,15
11016300,Cooper,44.508,33.58,44.51,44.51,33.58,15
11016700,Little Boy,523.372,36.05,523.37,654.59,45.09,21
11017000,Hunter,56.179,30.58,56.18,56.18,30.58,15
11017101,Wabedo (North East Bay),234.862,39.50,234.86,234.86,39.50,15
11017102,Wabedo (South West Bay),200.955,31.80,200.95,200.95,31.80,15
11017400,Girl,265.94,63.11,265.94,304.69,72.31,20
11017700,Three Island,287.889,99.13,287.89,287.89,99.13,13
11018200,Kego,81.275,66.95,81.28,81.28,66.95,15
11019000,Town Line,697.656,100.00,697.66,624.62,89.53,8
11019900,Hay,191.172,52.56,191.17,268.55,73.84,25
11020000,Mule,235.426,44.88,235.43,228.22,43.51,14
11020101,Broadwater Bay,423.877,54.61,423.88,532.20,68.56,22
11020102,Woman (main lake),1756.022,36.94,1756.02,2612.02,54.94,22
11020200,Silver,96.241,78.45,96.24,120.04,97.84,18
11020301,Leech (Main Basin),51849.207,50.05,51849.21,51849.21,50.05,15
11020302,Leech (Kabekona Bay),381.852,39.68,381.85,381.85,39.68,15
11020400,Portage,722.612,46.97,722.61,669.13,43.49,13
11021600,Agate,157.41,100.00,157.41,157.41,100.00,15
11021800,Upper Gull,180.29,42.73,180.29,205.07,48.60,18
11022000,Ray,112.443,81.21,112.44,119.85,86.56,17
11022200,Margaret,170.02,69.93,170.02,141.24,58.09,13
11022600,Loon,225.523,97.31,225.52,225.52,97.31,15
11023200,Hattie,220.01,41.54,220.01,220.01,41.54,15
11023400,Ponto,137.716,35.49,137.72,199.75,51.48,26
11023700,Deep Portage,32.271,25.01,32.27,42.21,32.71,22
11024200,Hand,154.407,53.39,154.41,154.41,53.39,15
11024600,Sylvan,75.117,66.56,75.12,81.01,71.78,16
11025000,Ada,360.97,39.92,360.97,491.41,54.34,22
11025700,Island,109.083,58.93,109.08,144.80,78.23,25
11025800,Long,172.938,70.14,172.94,188.78,76.56,17
