"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size"
"2018-0118","Stearns","Pearl",73003700,2020,"CLP","Aquathol K",2020-05-05,2020-05-05,35.2
"2018-0118","Stearns","Pearl",73003700,2025,"CLP","Diquat Herbicide",2025-05-14,2025-05-14,39.58
"2018-0126","Chisago","North Center",13003200,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,18.58
"2018-0127","Chisago","North Center",13003200,2020,"EWM","2,4-D Amine",2020-07-09,2020-07-09,9.42
"2018-0129","Chisago","South Center",13002700,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,14.16
"2018-0175","Crow Wing","Ruth",18021200,2020,"EWM","ProcellaCOR EC",2020-07-31,2020-09-24,6.6
"2018-0175","Crow Wing","Ruth",18021200,2022,"EWM","ProcellaCOR EC",2022-10-04,2022-10-04,11.9
"2018-0180","Wright","Clearwater",86025200,2020,"EWM","Dibrox",2020-09-10,2020-09-10,2.24
"2018-0180","Wright","Clearwater",86025200,2021,"EWM","Dibrox",2021-08-23,2021-08-23,5.27
"2018-0182","Stearns","Koronis",73020002,2024,"SSW","Mizzen",2024-07-08,2024-08-19,215.4
"2018-0187","Todd","Latimer",77010500,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,8
"2018-0241","Cass","Margaret",11022200,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,7.4
"2018-0244","Crow Wing","Upper Mission",18024200,2022,"CLP","ProcellaCOR EC",2022-08-04,2022-08-04,4.5
"2018-0247","Crow Wing","Upper Mission",18024200,2022,"EWM","ProcellaCOR EC",2022-08-04,2022-08-04,4.5
"2018-0293","Isanti","Fannie",30004300,2020,"CLP","Aquathol K",2020-05-05,2020-05-05,36.35
"2018-0293","Isanti","Fannie",30004300,2021,"CLP","Aquathol K",2021-05-07,2021-05-07,27.6
"2018-0293","Isanti","Fannie",30004300,2022,"CLP","Aquathol K",2022-05-24,2022-05-24,13.3
"2018-0293","Isanti","Fannie",30004300,2022,"EWM","Tribune",2022-05-24,2022-05-24,6.6
"2018-0293","Isanti","Fannie",30004300,2024,"CLP","Flumioxazin 51WDG Prime",2024-05-09,2024-05-09,18.96
"2018-0293","Isanti","Fannie",30004300,2025,"CLP","Flumioxazin 51WDG Prime",2025-05-12,2025-05-12,38.15
"2018-0294","Hennepin","Upper Twin",27004201,2020,"CLP","Diquat SPC 2 L",2020-05-28,2020-05-28,9.15
"2018-0332","Hubbard","Bad Axe",29020800,2021,"EWM","ProcellaCOR EC",2021-08-26,2021-08-26,2.07
"2018-0332","Hubbard","Bad Axe",29020800,2025,"EWM","ProcellaCOR EC",2025-07-24,2025-07-24,2
"2018-0333","Wright","French",86027300,2021,"EWM","ProcellaCOR",2021-07-27,2021-07-27,11.2
"2018-0333","Wright","French",86027300,2023,"EWM","ProcellaCOR",2023-09-26,2023-09-26,7.8
"2018-0334","Douglas","Ida",21012300,2021,"CLP","Aquathol K",2021-05-24,2021-05-24,18.7
"2018-0334","Douglas","Ida",21012300,2022,"CLP","Aquathol K",2022-06-03,2022-06-03,13.8
"2018-0334","Douglas","Ida",21012300,2024,"CLP","Semera",2024-05-23,2024-05-23,12.7
"2018-0371","Morrison","Alexander",49007900,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,16.45
"2018-0395","Wright","Limestone",86016300,2020,"CLP","Aquathol K",2020-05-04,2020-05-04,7.9
"2018-0395","Wright","Limestone",86016300,2021,"CLP","Aquathol K",2021-05-01,2021-05-01,7.9
