Permit_number,County_name,Lake_parent_name,k_Lake_ID,App_year,species_code,Pesticide_trade_name,start_date,end_date,treatment_size,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone,TreatmentSize_PercentofLake,TreatmentSize_PercentofLittoral
2017-1027,Anoka,George,2009100,2021,CLP,Dibrox,5/24/2021,5/24/2021,28.33,George,383.264,78.66,383.26,383.26,78.66,15,7.391771729,7.391848875
2017-1028,Anoka,George,2009100,2022,EWM,Tribune,5/27/2022,5/27/2022,37.65,George,383.264,78.66,383.26,383.26,78.66,15,9.823515905,9.823618431
2017-1028,Anoka,George,2009100,2024,EWM,Dibrox,5/20/2024,5/20/2024,37.1,George,383.264,78.66,383.26,383.26,78.66,15,9.680011689,9.680112717
2017-1028,Anoka,George,2009100,2025,EWM,Diquat Herbicide,5/14/2025,5/14/2025,32.23,George,383.264,78.66,383.26,383.26,78.66,15,8.409347082,8.409434848
2017-1032,Wright,Charlotte,86001100,2023,EWM,ProcellaCOR EC,6/28/2023,6/28/2023,11,Charlotte,89.711,37.71,89.71,128.36,53.95,25,12.26159557,8.569647865
2017-1034,Wright,Granite,86021700,2020,EWM,ProcellaCOR EC,7/9/2020,7/9/2020,6.9,Granite,118.179,33.47,118.18,87.98,24.92,11,5.838600767,7.842691521
2017-1034,Wright,Granite,86021700,2025,EWM,ProcellaCOR EC,9/22/2025,9/22/2025,6.5,Granite,118.179,33.47,118.18,87.98,24.92,11,5.500131157,7.388042737
2017-1036,Stearns,Marie,73001400,2022,CLP,Aquathol K,5/26/2022,5/26/2022,14.3,Marie,124.967,85.13,124.97,107.18,73.01,8,11.44302096,13.34204143
2017-1037,Hennepin,Minnetonka,27013303,2020,CLP,Tribune,5/15/2020,5/15/2020,4.8,Minnetonka-Carsons Bay,78.863,68.68,78.86,78.86,68.68,15,6.086504444,6.086735988
2017-1037,Hennepin,Minnetonka,27013303,2021,CLP,Tribune,5/24/2021,5/24/2021,14.1,Minnetonka-Carsons Bay,78.863,68.68,78.86,78.86,68.68,15,17.87910681,17.87978696
2017-1037,Hennepin,Minnetonka,27013303,2022,CLP,Tribune,6/1/2022,6/1/2022,23.4,Minnetonka-Carsons Bay,78.863,68.68,78.86,78.86,68.68,15,29.67170917,29.67283794
2017-1038,Hennepin,Minnetonka,27013303,2020,EWM,Kammo Plus,7/10/2020,7/10/2020,4.95,Minnetonka-Carsons Bay,78.863,68.68,78.86,78.86,68.68,15,6.276707708,6.276946487
2017-1038,Hennepin,Minnetonka,27013303,2021,EWM,ProcellaCOR,6/29/2021,6/29/2021,10.5,Minnetonka-Carsons Bay,78.863,68.68,78.86,78.86,68.68,15,13.31422847,13.31473497
2017-1038,Hennepin,Minnetonka,27013303,2022,EWM,Tribune,8/9/2022,8/9/2022,12,Minnetonka-Carsons Bay,78.863,68.68,78.86,78.86,68.68,15,15.21626111,15.21683997
2017-1038,Hennepin,Minnetonka,27013303,2025,CLP,Sonar A.S.,4/29/2025,4/29/2025,115,Minnetonka-Carsons Bay,78.863,68.68,78.86,78.86,68.68,15,145.8225023,145.8280497
2017-1039,Hennepin,Minnetonka,27013301,2020,EWM,ProcellaCOR EC,7/8/2020,7/8/2020,33.25,Minnetonka-Grays Bay,164.537,87.58,164.54,164.54,87.58,15,20.20822064,20.20785219
2017-1039,Hennepin,Minnetonka,27013301,2021,EWM,ProcellaCOR,6/29/2021,6/29/2021,22.98,Minnetonka-Grays Bay,164.537,87.58,164.54,164.54,87.58,15,13.96646347,13.96620882
2017-1041,Hennepin,Minnetonka,27013300,2021,EWM,ProcellaCOR EC,6/18/2021,6/18/2021,11.6,Minnetonka,6032.044,36.61,6032.04,6032.04,36.61,15,0.19230629,0.192306417
2017-1041,Hennepin,Minnetonka,27013305,2022,EWM,ProcellaCOR EC,7/1/2022,7/1/2022,12,Minnetonka-Upper Lake,1699.304,37.59,1699.3,1699.3,37.59,15,0.706171468,0.70617313
2017-1042,Hennepin,Minnetonka,27013304,2020,CLP,Tribune,5/29/2020,5/29/2020,12.7,Minnetonka-St. Albans Bay,103.155,62.08,103.16,103.16,62.08,15,12.31156997,12.31097325
2017-1042,Hennepin,Minnetonka,27013304,2021,CLP,Tribune,5/26/2021,5/26/2021,28.2,Minnetonka-St. Albans Bay,103.155,62.08,103.16,103.16,62.08,15,27.33750182,27.33617681
2017-1043,Hennepin,Minnetonka,27013304,2020,EWM,Kammo Plus,7/23/2020,7/23/2020,3.84,Minnetonka-St. Albans Bay,103.155,62.08,103.16,103.16,62.08,15,3.722553439,3.722373013
2017-1043,Hennepin,Minnetonka,27013304,2022,CLP,Sonar A.S.,5/11/2022,5/11/2022,160,Minnetonka-St. Albans Bay,103.155,62.08,103.16,103.16,62.08,15,155.1063933,155.0988755
2017-1043,Hennepin,Minnetonka,27013304,2022,EWM,Sonar,7/13/2022,7/13/2022,160,Minnetonka-St. Albans Bay,103.155,62.08,103.16,103.16,62.08,15,155.1063933,155.0988755
2017-1043,Hennepin,Minnetonka,27013304,2022,NA,Sonar A.S.,6/9/2022,6/9/2022,100,Minnetonka-St. Albans Bay,103.155,62.08,103.16,103.16,62.08,15,96.94149581,96.93679721
2017-1044,Hennepin,Minnetonka,27013313,2020,CLP,Tribune,5/15/2020,5/15/2020,47.7,Minnetonka-North Arm,169.204,52.16,169.2,169.2,52.16,15,28.19082291,28.19148936
2017-1044,Hennepin,Minnetonka,27013313,2021,CLP,Tribune,5/26/2021,5/26/2021,50.1,Minnetonka-North Arm,169.204,52.16,169.2,169.2,52.16,15,29.6092291,29.60992908
2017-1044,Hennepin,Minnetonka,27013313,2025,CLP,Tribune,5/7/2025,5/7/2025,53.62,Minnetonka-North Arm,169.204,52.16,169.2,169.2,52.16,15,31.68955817,31.69030733
2017-1047,Hennepin,Minnetonka,27013310,2020,EWM,Tribune,6/11/2020,6/11/2020,17,Minnetonka-Crystal Bay,317.357,38.9,317.36,317.36,38.9,15,5.356743352,5.356692715
