"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral"
"2017-0743","Aitkin","Gun",1009900,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,2.73,"Gun",370.283,370.28,370.28,50.97,50.97,15,0.737273922918416,0.737279896294696
"2017-0753","Hennepin","Mooney",27013400,2021,"CLP","Dibrox",2021-05-07,2021-05-07,9.1,"Mooney",123.79,123.79,100,100,123.79,15,7.35115922126181,9.1
"2017-0820","Wright","Cedar",86022700,2020,"CLP","Tribune",2020-05-19,2020-05-19,13.5,"Cedar",276.719,276.72,263.25,35.33,33.61,14,4.87859525366888,5.12820512820513
"2017-0823","Anoka","Linwood",2002600,2024,"EWM","Platoon",2024-08-26,2024-08-26,28.8,"Linwood",484.91,484.91,179.37,85.24,31.53,6,5.93924645810563,16.0561966884094
"2017-0825","Stearns","Middle Spunk",73012800,2020,"EWM","2,4-D Amine",2020-08-20,2020-08-20,6.82,"Middle Spunk",79.006,79.01,90.63,33.3,38.2,20,8.63225577804218,7.52510206333444
"2017-0825","Stearns","Middle Spunk",73012800,2021,"EWM","Platoon",2021-08-09,2021-08-09,1.23,"Middle Spunk",79.006,79.01,90.63,33.3,38.2,20,1.5568437840164,1.35716650115856
"2017-0825","Stearns","Middle Spunk",73012800,2022,"EWM","2,4-D Amine",2022-08-04,2022-08-04,18.3,"Middle Spunk",79.006,79.01,90.63,33.3,38.2,20,23.1627977621953,20.191989407481
"2017-0828","Wright","Pulaski",86005302,2020,"EWM","ProcellaCOR EC",2020-07-22,2020-07-22,17.2,"Pulaski (main bay)",138.767,138.77,183.91,18.97,25.14,20,12.3948777447088,9.3524006307433
"2017-0828","Wright","Pulaski",86005302,2021,"EWM","ProcellaCOR EC",2021-07-09,2021-07-09,16.7,"Pulaski (main bay)",138.767,138.77,183.91,18.97,25.14,20,12.0345615311998,9.08052851938448
"2017-0830","Kanabec","Lewis",33003200,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,1.17,"Lewis",80.875,80.88,77.83,45.45,43.74,14.4,1.44667697063369,1.50327637157908
"2017-0830","Kanabec","Lewis",33003200,2024,"CLP","Propeller",2025-04-29,2025-04-29,5.13,"Lewis",80.875,80.88,77.83,45.45,43.74,14.4,6.34312210200927,6.59128870615444
"2017-0857","Hennepin","Medicine",27010400,2021,"CLP","Tribune",2021-05-06,2021-05-06,63.21,"Medicine",434.53,434.53,434.53,46.74,46.74,15,14.546751662716,14.546751662716
"2017-0857","Hennepin","Medicine",27010400,2022,"SSW","Galleon SC",2022-05-16,2022-05-16,119.5,"Medicine",434.53,434.53,434.53,46.74,46.74,15,27.5009780682577,27.5009780682577
"2017-0871","Wright","Indian",86022300,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,2.5,"Indian",57.132,57.13,21.34,42.41,15.84,7,4.37583140796751,11.7150890346767
"2017-0871","Wright","Indian",86022300,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,4.6,"Indian",57.132,57.13,21.34,42.41,15.84,7,8.05152979066023,21.5557638238051
"2017-0871","Wright","Indian",86022300,2022,"CLP","Aquathol K",2022-05-23,2022-05-23,2.73,"Indian",57.132,57.13,21.34,42.41,15.84,7,4.77840789750053,12.7928772258669
"2017-0873","Wright","Indian",86022300,2020,"EWM","2,4-D Amine",2020-07-01,2020-07-01,8.5,"Indian",57.132,57.13,21.34,42.41,15.84,7,14.8778267870895,39.8313027179007
"2017-0873","Wright","Indian",86022300,2022,"EWM","2,4-D Amine",2022-07-25,2022-07-25,5.75,"Indian",57.132,57.13,21.34,42.41,15.84,7,10.0644122383253,26.9447047797563
"2017-0892","Wright","Beebe",86002300,2022,"CLP","Aquathol K",2022-05-17,2022-05-17,14.39,"Beebe",179.487,179.49,162.18,58.99,53.3,12,8.01729373157945,8.87285731902824
"2017-0892","Wright","Beebe",86002300,2023,"CLP","Aquathol K",2023-05-07,2023-05-07,14.39,"Beebe",179.487,179.49,162.18,58.99,53.3,12,8.01729373157945,8.87285731902824
"2017-0917","Washington","Forest",82015900,2020,"CLP","Aquathol K",2020-05-12,2020-05-12,59.31,"Forest",1561.192,1561.19,1404.75,68.75,61.86,13,3.79902023581981,4.22210357714896
"2017-0968","Hennepin","Crystal",27003400,2021,"CLP","Aquathol K",2021-05-10,2021-05-10,5.1,"Crystal",79.12,53,66.99,66.99,53,15,6.44590495449949,7.61307657859382
"2017-0973","Crow Wing","Sebie",18016100,2020,"CLP","Aquathol K",2020-05-08,2020-05-08,5.18,"Sebie",185.31,117,63.14,63.14,117,15,2.79531595704495,8.2039911308204
"2017-1005","Crow Wing","Upper South Long",18009600,2021,"CLP","Aquathol K",2021-05-19,2021-05-19,7.8,"Upper South Long",292.083,292.08,243.28,36.72,30.59,12,2.67047380367909,3.20618217691549
"2017-1005","Crow Wing","Upper South Long",18009600,2022,"CLP","Aquathol K",2022-06-01,2022-06-01,4.4,"Upper South Long",292.083,292.08,243.28,36.72,30.59,12,1.5064211200241,1.80861558697797
"2017-1027","Anoka","George",2009100,2020,"CLP","Dibrox",2020-05-11,2020-05-11,46.9,"George",383.264,383.26,383.26,78.66,78.66,15,12.2369959088252,12.2371236236497
"2017-1027","Anoka","George",2009100,2021,"CLP","Dibrox",2021-05-24,2021-05-24,28.33,"George",383.264,383.26,383.26,78.66,78.66,15,7.39177172914753,7.39184887543704
