"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral","iceoff_est"
NA,"Hennepin","Twin",27004203,2021,"CLP","Aquathol K",2021-05-10,2021-05-10,11.84,"Lower Twin",26.604,26.6,26.6,81.12,81.12,15,44.5045857765749,44.5112781954887,82.3492787787381
NA,"Isanti","Francis",30008000,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,13.02,"Francis",270.419,270.42,24.52,99.85,9.05,2,4.81475044283131,53.0995106035889,85.9068789313783
NA,"Isanti","Francis",30008000,2022,"CLP","Aquathol K",2023-05-15,2023-05-15,39.7,"Francis",270.419,270.42,24.52,99.85,9.05,2,14.6809210891247,161.908646003263,110.369735766661
NA,"Kanabec","Knife",33002800,2022,"CLP","Aquathol K",2023-05-23,2023-05-23,50.3,"Knife",1259.215,1259.21,177.06,100,14.06,5,3.99455216146568,28.4084491132949,116.540177601922
NA,"Lincoln","Benton",41004300,2020,"CLP","Sonar A.S.",2020-04-23,2020-04-23,1034,"Benton",2649.413,2649.41,279.36,100,10.54,5,39.0275128868168,370.131729667812,89.9567422022492
NA,"McLeod","Winsted",43001200,2022,"CLP","Aquathol K",2022-05-10,2022-05-10,12.8,"Winsted",382.443,382.44,65.07,100,17.01,3,3.34690398307722,19.6711234055632,106.588481243621
NA,"Ramsey","Josephine",62005700,2020,"CLP","Sonar A.S.",2020-04-30,2020-07-24,351,"Josephine",78.88,78.88,75.84,69.36,66.68,14,444.979716024341,462.816455696202,94.2687494948748
NA,"Ramsey","Kohlman",62000600,2022,"CLP","Tribune",2023-06-06,2023-06-06,8,"Kohlman",82.899,82.9,44.19,100,53.3,4,9.65029734978709,18.1036433582258,107.139671200244
NA,"Renville","Preston",65000200,2024,"CLP","Flumigard",2024-05-13,2024-05-13,31.9,"Preston",660.847,660.85,82.04,99.49,12.35,4,4.8271385055845,38.8834714773281,67.2096954477746
NA,"Scott","Cedar",70009100,2022,"CLP","Sonar A.S.",2023-06-07,NA,793,"Cedar",792.503,792.5,792.5,100,100,12.5,100.062712696356,100.06309148265,105.81560844886
NA,"Scott","Cleary",70002200,2021,"CLP","Sonar A.S.",2021-04-28,2021-04-28,145,"Cleary",144.743,144.74,130.59,99.02,89.34,7,100.177556082159,111.034535569339,81.6984308788141
NA,"Scott","Cleary",70002200,2022,"CLP","Sonar A.S.",2022-05-11,2022-05-11,144.75,"Cleary",144.743,144.74,130.59,99.02,89.34,7,100.00483615788,110.843096714909,105.972450628875
NA,"Scott","O'Dowd",70009500,2024,"CLP","FlumigardSC",2024-05-15,2024-05-15,40.43,"O'Dowd",273.579,273.58,161.28,87.11,51.35,6,14.7781810738397,25.0682043650794,66.8293584647874
NA,"Sherburne","Eagle",71006700,2020,"CLP","Aquathol K",2020-05-16,2020-05-16,33.5,"Eagle",319.487,319.49,158.06,70.24,34.75,7,10.4855596628345,21.1944831076806,97.8843408465798
NA,"Sherburne","Rush",71014700,2024,"CLP","FlumigardSC",2025-04-30,2025-04-30,22.5,"Rush",160.818,160.82,103.31,100,64.24,7,13.9909711599448,21.7791114122544,91.0429538716394
NA,"Waseca","Clear",81001401,2025,"CLP","Aquathol K",2025-05-05,2025-05-05,38,"Clear",563.674,563.67,215.16,86.89,33.16,8,6.74148532662496,17.661275329987,84.6550231384845
NA,"Washington","Colby",82009400,2022,"CLP","Sonar A.S.",2023-04-25,2023-04-25,70.94,"Colby",70.94,68.87,97.08,97.08,68.87,15,100,73.073753605274,NA
NA,"Washington","La",82009700,2023,"CLP","Sonar A.S.",2023-11-02,2024-04-02,90,"La",45,45,45,100,100,NA,200,200,105.802317183481
NA,"Washington","Shields",82016200,2022,"CLP","Tribune",2023-05-22,2023-05-22,3.07,"Shields",25.527,25.53,20.19,86.44,68.35,9,12.0264817644063,15.2055473006439,NA
